Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
John Taylor,2023,Houston,MIT,Mechanical Engineering,M.Tech,Business Analytics,Statistics,Product Manager,IBM,Automotive,24,"Django, React, C++","Data Science, Renewable Energy"
Robert Scott,2004,Chicago,Columbia University,Electrical Engineering,M.Tech,Cybersecurity,History,Consultant,Microsoft,Consulting,26,"Django, Python, Git","Robotics, ML"
John Lewis,2005,San Jose,MIT,Physics,MBA,Software Engineering,Philosophy,Operations Manager,Adobe,Healthcare,14,"Python, TensorFlow, Docker","Robotics, Business Strategy"
Jessica Scott,2013,New York,Columbia University,Civil Engineering,BBA,Cybersecurity,Psychology,Data Scientist,Microsoft,Technology,24,"CSS, React, Django","Data Science, Robotics"
Linda Brown,2014,Dallas,University of Pennsylvania,Computer Science,MBA,Cybersecurity,Political Science,Data Scientist,Google,Finance,2,"TensorFlow, Python, Docker","Renewable Energy, AI"
Alice Lewis,2018,Dallas,Yale University,Mechanical Engineering,MBA,Renewable Energy,Art History,DevOps Engineer,Amazon,Automotive,17,"Git, JavaScript, Kubernetes","Business Strategy, Renewable Energy"
David Brown,2016,Chicago,Harvard University,Civil Engineering,BBA,Financial Engineering,Linguistics,Consultant,IBM,Consulting,24,"React, HTML, Python","Cybersecurity, Data Science"
Linda Walker,2007,San Jose,Stanford University,Mechanical Engineering,MBA,Financial Engineering,History,Data Scientist,Google,Telecommunications,2,"Django, Keras, JavaScript","Blockchain, Quantum Computing"
Sarah Johnson,2021,San Diego,Harvard University,Mechanical Engineering,PhD,Business Analytics,Political Science,Software Engineer,Adobe,Healthcare,2,"TensorFlow, Python, JavaScript","ML, Quantum Computing"
Michael Smith,2002,San Jose,MIT,Physics,PhD,Financial Engineering,Statistics,Business Analyst,Apple,Education,20,"Keras, Django, Docker","IoT, Cybersecurity"
John Scott,2015,San Diego,University of Pennsylvania,Biology,M.Sc,Data Science,Philosophy,Software Engineer,Google,Healthcare,8,"SQL, Java, C++","Business Strategy, ML"
Robert Scott,2007,Dallas,Yale University,Mathematics,PhD,Artificial Intelligence,Sociology,Operations Manager,Intel,Retail,19,"AWS, Docker, React","Blockchain, Data Science"
Sarah Smith,2010,Chicago,MIT,Economics,B.Tech,Quantum Computing,Linguistics,Marketing Manager,Amazon,Education,26,"Docker, Java, TensorFlow","ML, Cybersecurity"
Sarah Walker,2024,Dallas,California Institute of Technology,Chemistry,B.Tech,Software Engineering,Art History,Full Stack Developer,Microsoft,Education,14,"TensorFlow, C++, Keras","Cybersecurity, Quantum Computing"
Jessica Scott,2021,San Antonio,"University of California, Berkeley",Business Administration,M.Tech,Quantum Computing,Philosophy,Consultant,Microsoft,Finance,3,"Kubernetes, AWS, Python","ML, Quantum Computing"
Emily Smith,2016,Los Angeles,Harvard University,Electrical Engineering,M.Tech,Data Science,Linguistics,DevOps Engineer,IBM,Education,27,"Java, Keras, Docker","Data Science, AI"
Bob Johnson,2005,San Diego,Stanford University,Biology,B.Tech,Software Engineering,Political Science,Research Scientist,Google,Government,17,"Keras, React, TensorFlow","Quantum Computing, ML"
Michael Lee,2023,Philadelphia,Harvard University,Electrical Engineering,BBA,Software Engineering,Law,Research Scientist,Adobe,Technology,30,"Java, Keras, CSS","ML, Robotics"
Robert Walker,2023,Phoenix,University of Chicago,Physics,B.Sc,Cybersecurity,Environmental Science,Business Analyst,Intel,Healthcare,14,"Keras, HTML, React","Business Strategy, Quantum Computing"
Emily Anderson,2004,San Diego,MIT,Mathematics,M.Tech,Robotics,Linguistics,Operations Manager,Intel,Automotive,8,"HTML, SQL, Python","AI, ML"
Bob Brown,2015,Chicago,Princeton University,Physics,M.Tech,Robotics,Sociology,Research Scientist,Intel,Education,12,"SQL, Java, C++","Cybersecurity, Quantum Computing"
John Johnson,2017,Chicago,University of Chicago,Electrical Engineering,B.Tech,Financial Engineering,History,Consultant,Adobe,Energy,5,"SQL, Django, Python","Data Science, AI"
David Johnson,2017,Houston,Columbia University,Business Administration,B.Tech,Artificial Intelligence,Environmental Science,Consultant,Facebook,Telecommunications,23,"CSS, Git, Django","Blockchain, Cybersecurity"
John Walker,2004,Houston,Harvard University,Economics,B.Tech,Financial Engineering,History,Consultant,Google,Telecommunications,30,"JavaScript, CSS, HTML","Business Strategy, Quantum Computing"
Bob Scott,2012,Houston,Yale University,Civil Engineering,PhD,Renewable Energy,History,Operations Manager,Tesla,Automotive,12,"React, HTML, JavaScript","ML, Quantum Computing"
Robert Lee,2020,San Jose,Columbia University,Biology,B.Tech,Machine Learning,Linguistics,Product Manager,Tesla,Telecommunications,29,"React, Python, Keras","Data Science, Business Strategy"
Linda Walker,2005,San Jose,Stanford University,Civil Engineering,B.Tech,Artificial Intelligence,History,Research Scientist,Microsoft,Education,18,"Kubernetes, C++, Docker","Robotics, Renewable Energy"
Jessica Lewis,2000,Philadelphia,"University of California, Berkeley",Business Administration,B.Sc,Financial Engineering,Philosophy,Product Manager,Apple,Healthcare,13,"TensorFlow, Git, HTML","Robotics, Business Strategy"
Jessica Clark,2008,Phoenix,MIT,Physics,B.Tech,Artificial Intelligence,Environmental Science,Business Analyst,Apple,Education,13,"Django, Docker, JavaScript","Blockchain, ML"
Emily Smith,2022,Houston,University of Chicago,Civil Engineering,M.Tech,Machine Learning,Political Science,Research Scientist,Adobe,Consulting,20,"Keras, Docker, C++","Business Strategy, Robotics"
Sarah Smith,2019,New York,MIT,Mathematics,M.Tech,Cybersecurity,History,Research Scientist,Amazon,Healthcare,12,"Django, SQL, Docker","ML, Cybersecurity"
Emily Taylor,2011,Chicago,University of Chicago,Chemistry,PhD,Robotics,Environmental Science,Operations Manager,Intel,Finance,27,"HTML, CSS, Kubernetes","Quantum Computing, ML"
Emily Johnson,2007,San Jose,Yale University,Civil Engineering,MBA,Financial Engineering,History,Business Analyst,Google,Technology,5,"C++, SQL, Git","AI, Robotics"
Emily Taylor,2024,San Antonio,University of Pennsylvania,Business Administration,M.Sc,Business Analytics,Art History,Operations Manager,Facebook,Education,4,"AWS, CSS, SQL","Renewable Energy, Cybersecurity"
John Clark,2020,Philadelphia,Stanford University,Mechanical Engineering,PhD,Software Engineering,Psychology,Software Engineer,IBM,Consulting,19,"C++, CSS, Git","AI, Robotics"
Linda Walker,2012,San Diego,Stanford University,Biology,M.Tech,Business Analytics,Statistics,DevOps Engineer,Intel,Finance,4,"React, JavaScript, TensorFlow","IoT, Business Strategy"
Alice Lewis,2017,Los Angeles,MIT,Economics,B.Sc,Quantum Computing,Sociology,Software Engineer,Tesla,Education,30,"JavaScript, C++, HTML","AI, IoT"
John Brown,2021,Phoenix,University of Pennsylvania,Business Administration,B.Sc,Data Science,Sociology,Marketing Manager,Netflix,Education,14,"JavaScript, Docker, HTML","Renewable Energy, Data Science"
Sarah Smith,2002,San Antonio,Yale University,Biology,M.Sc,Renewable Energy,Linguistics,Software Engineer,Adobe,Automotive,11,"Docker, Django, TensorFlow","Quantum Computing, IoT"
Sarah Lee,2021,New York,"University of California, Berkeley",Computer Science,B.Sc,Quantum Computing,History,Operations Manager,Amazon,Technology,30,"HTML, SQL, Kubernetes","Data Science, Business Strategy"
Alice Lee,2014,New York,University of Pennsylvania,Chemistry,PhD,Machine Learning,Statistics,Full Stack Developer,Facebook,Consulting,5,"CSS, React, AWS","Blockchain, Data Science"
Emily Scott,2019,Dallas,Yale University,Business Administration,B.Sc,Business Analytics,Sociology,Research Scientist,Facebook,Energy,27,"Python, HTML, Kubernetes","Blockchain, ML"
Michael Walker,2006,Philadelphia,California Institute of Technology,Chemistry,PhD,Renewable Energy,Statistics,Consultant,Netflix,Automotive,21,"HTML, Django, Kubernetes","Quantum Computing, AI"
Sarah Walker,2004,San Jose,Stanford University,Economics,M.Tech,Artificial Intelligence,Psychology,Full Stack Developer,Google,Technology,3,"Python, Docker, Keras","AI, Renewable Energy"
Sarah Lewis,2018,Dallas,Yale University,Physics,BBA,Machine Learning,Philosophy,Full Stack Developer,Apple,Consulting,30,"Kubernetes, Python, Docker","AI, Blockchain"
Michael Lee,2010,San Diego,University of Chicago,Chemistry,B.Sc,Data Science,Sociology,Marketing Manager,Netflix,Healthcare,24,"CSS, HTML, Git","AI, Blockchain"
Jessica Scott,2001,Philadelphia,Yale University,Economics,M.Sc,Artificial Intelligence,Sociology,Data Scientist,IBM,Retail,12,"AWS, TensorFlow, JavaScript","Cybersecurity, Data Science"
Alice Johnson,2020,San Jose,Columbia University,Civil Engineering,B.Tech,Artificial Intelligence,Statistics,Consultant,Microsoft,Finance,25,"Django, Kubernetes, Java","AI, Cybersecurity"
John Johnson,2021,Dallas,Princeton University,Civil Engineering,B.Sc,Business Analytics,Psychology,Operations Manager,IBM,Energy,15,"Python, Docker, JavaScript","Robotics, Cybersecurity"
Sarah Scott,2015,Houston,Princeton University,Mathematics,BBA,Data Science,Psychology,Product Manager,Netflix,Telecommunications,30,"Kubernetes, HTML, JavaScript","Robotics, Blockchain"
John Anderson,2006,Los Angeles,Harvard University,Biology,MBA,Cybersecurity,Linguistics,Consultant,Tesla,Consulting,7,"Python, Kubernetes, AWS","AI, Renewable Energy"
Michael Lewis,2005,New York,Harvard University,Business Administration,PhD,Cybersecurity,Sociology,Software Engineer,Google,Finance,26,"Kubernetes, Django, Java","Blockchain, Data Science"
Alice Taylor,2011,New York,University of Pennsylvania,Chemistry,M.Sc,Data Science,Law,Product Manager,Microsoft,Government,8,"SQL, Keras, React","Data Science, Blockchain"
Jessica Taylor,2020,Los Angeles,Yale University,Mathematics,B.Sc,Cybersecurity,Linguistics,Business Analyst,Intel,Finance,27,"HTML, Kubernetes, Python","Data Science, Blockchain"
Linda Smith,2012,Chicago,Columbia University,Mathematics,MBA,Data Science,Philosophy,Product Manager,Facebook,Healthcare,28,"CSS, Keras, C++","ML, Business Strategy"
Robert Brown,2000,New York,MIT,Civil Engineering,MBA,Software Engineering,Law,Software Engineer,IBM,Education,7,"TensorFlow, React, Git","AI, Robotics"
John Lee,2006,San Antonio,"University of California, Berkeley",Business Administration,MBA,Software Engineering,Law,Product Manager,Intel,Healthcare,9,"JavaScript, Git, Docker","IoT, Data Science"
John Scott,2021,Phoenix,University of Chicago,Chemistry,PhD,Robotics,Philosophy,Software Engineer,Adobe,Telecommunications,29,"JavaScript, TensorFlow, Docker","Blockchain, Data Science"
Linda Anderson,2004,Houston,Yale University,Mechanical Engineering,B.Tech,Cybersecurity,Linguistics,Data Scientist,Tesla,Government,22,"C++, Django, Kubernetes","AI, Data Science"
Robert Scott,2024,San Diego,Stanford University,Physics,BBA,Business Analytics,Philosophy,Business Analyst,Apple,Finance,19,"Java, Kubernetes, SQL","Cybersecurity, Data Science"
Bob Johnson,2020,New York,University of Chicago,Economics,MBA,Robotics,Law,Marketing Manager,Tesla,Automotive,30,"Kubernetes, AWS, JavaScript","Robotics, Cybersecurity"
John Taylor,2012,San Diego,California Institute of Technology,Economics,BBA,Artificial Intelligence,Art History,Business Analyst,Apple,Healthcare,30,"Kubernetes, Keras, SQL","Quantum Computing, IoT"
Emily Smith,2021,New York,California Institute of Technology,Electrical Engineering,M.Tech,Cybersecurity,Political Science,Consultant,Amazon,Healthcare,28,"TensorFlow, HTML, Kubernetes","Cybersecurity, Robotics"
Jessica Lewis,2012,Dallas,"University of California, Berkeley",Electrical Engineering,BBA,Financial Engineering,Environmental Science,Business Analyst,Amazon,Technology,3,"Keras, CSS, SQL","IoT, ML"
Robert Smith,2011,San Diego,Harvard University,Chemistry,M.Tech,Artificial Intelligence,Art History,Software Engineer,Google,Telecommunications,3,"Kubernetes, TensorFlow, Git","Blockchain, Robotics"
Emily Johnson,2020,Philadelphia,Harvard University,Electrical Engineering,B.Sc,Robotics,Sociology,Operations Manager,Google,Automotive,22,"Java, Keras, Docker","Renewable Energy, Cybersecurity"
Emily Anderson,2004,Dallas,Stanford University,Computer Science,B.Sc,Renewable Energy,Sociology,Business Analyst,Tesla,Consulting,23,"Kubernetes, Git, C++","Business Strategy, Renewable Energy"
Robert Lee,2022,Houston,Yale University,Computer Science,MBA,Business Analytics,Political Science,Consultant,IBM,Finance,12,"Git, Docker, CSS","Cybersecurity, Business Strategy"
Michael Smith,2023,San Antonio,MIT,Mathematics,M.Tech,Quantum Computing,Sociology,Operations Manager,Apple,Automotive,26,"CSS, Django, JavaScript","Cybersecurity, Renewable Energy"
Bob Taylor,2024,Houston,Yale University,Computer Science,M.Sc,Financial Engineering,History,Marketing Manager,Facebook,Consulting,20,"Git, React, C++","ML, Quantum Computing"
John Johnson,2017,San Diego,Stanford University,Economics,PhD,Renewable Energy,History,Research Scientist,Google,Technology,10,"Keras, Kubernetes, Django","IoT, Data Science"
Linda Walker,2013,Philadelphia,MIT,Economics,M.Tech,Business Analytics,Political Science,Research Scientist,Tesla,Technology,11,"AWS, Kubernetes, JavaScript","ML, Blockchain"
Bob Scott,2005,San Jose,University of Pennsylvania,Computer Science,MBA,Machine Learning,Environmental Science,Marketing Manager,IBM,Automotive,30,"Keras, React, AWS","Blockchain, Renewable Energy"
Linda Smith,2012,Los Angeles,Harvard University,Biology,B.Sc,Software Engineering,Sociology,DevOps Engineer,Netflix,Consulting,25,"AWS, JavaScript, Git","Data Science, ML"
Sarah Anderson,2009,Phoenix,"University of California, Berkeley",Physics,B.Tech,Business Analytics,Psychology,Business Analyst,Tesla,Education,22,"C++, JavaScript, Django","Blockchain, IoT"
Robert Walker,2005,Philadelphia,"University of California, Berkeley",Mathematics,MBA,Robotics,Political Science,Marketing Manager,Tesla,Energy,22,"HTML, Kubernetes, C++","Cybersecurity, Renewable Energy"
Michael Lee,2020,San Jose,California Institute of Technology,Physics,M.Tech,Business Analytics,Philosophy,Full Stack Developer,IBM,Technology,4,"Keras, TensorFlow, Kubernetes","AI, Robotics"
Alice Brown,2014,San Diego,MIT,Mathematics,BBA,Data Science,Statistics,Research Scientist,Amazon,Technology,16,"AWS, Kubernetes, Django","Renewable Energy, Quantum Computing"
Michael Lewis,2019,San Diego,Stanford University,Mechanical Engineering,MBA,Artificial Intelligence,Political Science,Full Stack Developer,IBM,Healthcare,23,"SQL, TensorFlow, HTML","Data Science, Blockchain"
Bob Johnson,2008,Houston,University of Pennsylvania,Biology,B.Sc,Software Engineering,Linguistics,Consultant,Intel,Telecommunications,28,"C++, Git, HTML","Quantum Computing, Business Strategy"
Emily Walker,2013,Chicago,University of Pennsylvania,Chemistry,PhD,Quantum Computing,Environmental Science,Software Engineer,Apple,Automotive,27,"HTML, JavaScript, Java","Robotics, Quantum Computing"
John Scott,2022,San Jose,Yale University,Economics,MBA,Software Engineering,Psychology,Operations Manager,Tesla,Energy,9,"React, SQL, JavaScript","Quantum Computing, Business Strategy"
Sarah Lee,2012,Chicago,California Institute of Technology,Computer Science,B.Tech,Financial Engineering,Political Science,Product Manager,Tesla,Telecommunications,10,"TensorFlow, AWS, Python","Robotics, IoT"
Jessica Anderson,2010,San Antonio,Stanford University,Biology,BBA,Quantum Computing,Psychology,Research Scientist,Adobe,Telecommunications,17,"SQL, CSS, AWS","ML, Data Science"
Jessica Smith,2018,Houston,Princeton University,Economics,B.Tech,Cybersecurity,Linguistics,Consultant,Tesla,Finance,20,"Python, TensorFlow, Kubernetes","ML, IoT"
Bob Clark,2011,Philadelphia,Harvard University,Chemistry,MBA,Artificial Intelligence,History,Research Scientist,Apple,Telecommunications,16,"Docker, Django, Git","Cybersecurity, ML"
Sarah Scott,2016,San Diego,Yale University,Chemistry,B.Tech,Cybersecurity,Linguistics,Research Scientist,Tesla,Telecommunications,10,"CSS, React, C++","AI, IoT"
John Johnson,2008,New York,California Institute of Technology,Business Administration,M.Sc,Financial Engineering,Art History,Data Scientist,IBM,Telecommunications,15,"TensorFlow, AWS, Docker","IoT, Cybersecurity"
Sarah Anderson,2023,Houston,University of Pennsylvania,Economics,BBA,Artificial Intelligence,Statistics,Operations Manager,Facebook,Consulting,5,"AWS, CSS, JavaScript","IoT, ML"
Alice Taylor,2003,Houston,Yale University,Business Administration,B.Sc,Software Engineering,Linguistics,Research Scientist,Apple,Automotive,22,"SQL, Kubernetes, TensorFlow","Business Strategy, Data Science"
